1,07/20/2020 11:17 AM,470713,126413,869.1,Cancel,service charge,Scotia
2,03/09/2020 08:36 PM,196397,526996,7651.76,Cancel,internal ,Scotia
3,02/08/2020 03:01 AM,766075,151738,2974.47,Test,adjustment,TCB
4,01/26/2020 04:56 AM,202549,122891,6537.82,Test,internal ,Amex
5,01/31/2020 05:56 PM,810088,736048,237.7,Test,internal ,Amex
6,03/02/2020 02:04 PM,409966,509587,8535.28,Cancel,internal ,Chase
7,01/24/2020 08:35 PM,563077,434602,7076.5,Debit,adjustment,Amex
8,06/02/2020 09:48 AM,426553,866926,1147.93,Credit,payment Transfer,Chase
9,07/28/2020 04:12 AM,189551,943033,977.58,Cancel,service charge,TCB
10,04/29/2020 07:10 AM,793343,933847,3366.03,Credit,adjustment,Chase
